Industry,Product Code,ones,ones+2
Accounting/Finance,12,2,4
Advertising/Public Relations,0,2,4
Aerospace/Aviation,0,2,4
Arts/Entertainment/Publishing,15,2,4
Automotive,16,2,4
Banking/Mortgage,17,2,4
Business Development,18,2,4
Business Opportunity,19,2,4
Clerical/Administrative,20,2,4
Construction/Facilities,21,2,4
Consumer Goods,22,2,4
Customer Service,23,2,4
Education/Training,24,2,4
Energy/Utilities,25,2,4
Engineering,26,2,4
Government/Military,27,2,4
Green,28,2,4
Healthcare,29,2,4
Hospitality/Travel,30,2,4
Human Resources,31,2,4
Installation/Maintenance,32,2,4
Insurance,33,2,4
Internet,34,2,4
Job Search Aids,35,2,4
Law Enforcement/Security,36,2,4
Legal,37,2,4
Management/Executive,38,2,4
Manufacturing/Operations,39,2,4
Marketing,40,2,4
Non-Profit/Volunteer,41,2,4
Pharmaceutical/Biotech,42,2,4
Professional Services,43,2,4
QA/Quality Control,44,2,4
Real Estate,45,2,4
Restaurant/Food Service,46,2,4
Retail,47,2,4
Sales,48,2,4
Science/Research,49,2,4
Skilled Labor,50,2,4
Technology,51,2,4
Telecommunications,52,2,4
Transportation/Logistics,53,2,4
Other,54,2,4
